"evento","inizio","sede","indirizzo","comune"
"I tesori della Puglia in ""Pèlagos"", la video-opera dell'artista spagnolo Sam3","2022-05-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Notte Europea dei Musei 2022 - Il 14 Maggio l'arte...non dorme","2022-05-14 00:00:00","Museo DIOCESANO di Monopoli","Ex Seminario Vescovile, Via Cattedrale - Monopoli","Monopoli"
"Underground - Racconti ed esperienze di archeologia","2022-05-14 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Patrimoni Restituiti - Tra tutela e conoscenza condivisa","2022-06-17 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Archeologia in cantiere","2022-06-19 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"GEA 2022 - Le ultime scoperte archeologiche a Monte Sannace: dallo scavo all’edizione","2022-06-19 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"𝗜𝗟 𝗣𝗔𝗦𝗧𝗢𝗥 𝗙𝗜𝗗𝗢 𝗱𝗶 𝗖𝗛𝗘̀𝗗𝗘𝗩𝗜𝗟𝗟𝗘 - 𝗖𝗿𝗼𝗻𝗮𝗰𝗮 𝗺𝘂𝘀𝗶𝗰𝗮𝗹𝗲 𝗱𝗶 𝘂𝗻 𝗳𝗮𝗹𝘀𝗼 𝗶𝗹𝗹𝘂𝘀𝘁𝗿𝗲","2022-07-23 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Domenica 14 agosto 2022 al Castello Svevo di Bari","2022-08-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2022 nel Grottone del Museo nazionale Jatta di Ruvo di Puglia","2022-08-14 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Ferragosto 2022 al Castello Svevo di Bari","2022-08-15 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2022 al Parco Archeologico di Monte Sannace","2022-08-15 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Phototrace 2022","2022-09-17 00:00:00","Complesso di Santa Chiara e San Francesco della Scarpa","Via Pier L'Eremita - Bari","Bari"
"""L’evoluzione del paesaggio urbano di Bari attraverso i piani regolatori della città"". Rassegna documentaria e visita guidata all'Archivio di Stato di Bari.","2022-09-24 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Attori - Esperienze archeologiche in terra di Bari","2022-09-24 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"GEP 2022 -  “Ricalchiamo la storia” –  Presentazione e ricollocazione in situ del primo calco di un peucezio realizzato a Monte Sannace","2022-09-24 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEP 2022 - Sulle tracce della madre di Bari","2022-09-24 00:00:00","Castello di Ceglie del Campo","Piazza Castello, 5 - Bari","Bari"
"GEP 2022 - Una notte al Museo","2022-09-24 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"GEP 2022 - Visite guidate alla Galleria Nazionale della Puglia ""Devanna""","2022-09-24 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"GEP 2022 - Visite guidate in Galleria. Il Palazzo e la Collezione.","2022-09-24 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"GEP 2022 Visita guidata a tema alla mostra “Collezionauta. Capolavori attraverso il tempo”","2022-09-24 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"GEP 2022 al Castello Svevo di Bari","2022-09-24 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"GEP 2022 al Parco Archeologico di Monte Sannace","2022-09-24 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEP 2022  Apertura straordinaria con visita guidata a tema alla mostra “Collezionauta. Capolavori attraverso il tempo”","2022-09-25 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"GEP 2022 - Visite guidate nella Galleria Devanna. Il Palazzo e la Collezione.","2022-09-25 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"GEP 2022- Una giornata al Castello","2022-09-25 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Guglielmo Murari e la città di Bari. Dalla fabbrica di carte da gioco alla Fondazione per i “maritaggi”.","2022-10-09 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Tra segni e suoni: apertura straordinaria","2022-10-09 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"Viaggio nel libro Cuore di De Amicis","2022-10-22 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"“Un mondo dentro il mondo” - Incontro in ricordo di Girolamo Devanna.","2022-11-06 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Antichi Popoli di Puglia. L'Archeologia racconta","2022-12-05 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria del Castello Svevo di Bari","2022-12-26 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria del Museo Nazionale Jatta","2022-12-26 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Apertura straordinaria di Monte Sannace","2022-12-26 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Apertura straordinaria della Galleria Nazionale ""Devanna""","2022-12-26 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Apertura del Castello e Museo Archeologico di Gioia del Colle","2023-01-02 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Apertura della Galleria Nazionale della Puglia ""Devanna""","2023-01-02 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Apertura straordinaria del Parco Archeologico di Monte Sannace","2023-01-02 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Apertura straordinaria del Castello Svevo di Bari","2023-01-02 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria della mostra ""Collezionauta"" a Palazzo Jatta","2023-01-02 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Visite guidate alla mostra ""Antichi Popoli di Puglia. L'archeologia racconta"" a cura del personale del Castello Svevo di Bari","2023-03-08 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Il paesaggio pugliese nella sala del ‘900","2023-03-14 00:00:00","Museo e Pinacoteca d'Arte Medievale e Moderna della Città Metropolitana di Bari ""Corrado Giaquinto""","Via Spalato, 19 - Bari","Bari"
"Mare nostrum - Mostra fotografica sul paesaggio pugliese","2023-03-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria Palazzo Simi","2023-04-09 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Pasqua 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia","2023-04-09 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasqua 2022 al Parco archeologico di Monte Sannace_Copia","2023-04-09 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia","2023-04-09 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia","2023-04-09 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta 2022 al Castello Svevo di Bari_Copia_Copia","2023-04-09 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria Palazzo Simi_Copia","2023-04-10 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia","2023-04-10 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasquetta 2022 al Castello Svevo di Bari_Copia","2023-04-10 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia","2023-04-10 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasquetta al Parco archeologico di Monte Sannace_Copia","2023-04-10 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Antichi Popoli di Puglia. L'Archeologia racconta. Giornate di studi","2023-04-18 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia","2023-04-24 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"25 Aprile 2023 al Castello Svevo di Bari","2023-04-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Apertura straordinaria Palazzo Simi_Copia_Copia","2023-04-25 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia_Copia","2023-04-25 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia","2023-04-25 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Apertura straordinaria Palazzo Simi_Copia_Copia_Copia","2023-05-01 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Ferragosto 2022 nel Grottone del Museo nazionale Jatta di Ruvo di Puglia_Copia","2023-05-01 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia_Copia","2023-05-01 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasquetta 2022 al Castello Svevo di Bari_Copia_Copia","2023-05-01 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia_Copia","2023-05-01 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia","2023-05-01 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Archeolab - Reperti archelogici dal materiale al digitale_Copia","2023-05-13 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia_Copia_Copia","2023-05-13 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia","2023-05-13 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta 2022 al Castello Svevo di Bari_Copia_Copia_Copia","2023-05-13 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia","2023-05-13 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia","2023-05-13 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia_Copia","2023-05-17 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"25 Aprile 2023 al Castello Svevo di Bari_Copia","2023-06-02 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia_Copia_Copia","2023-06-02 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia_Copia","2023-06-02 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia_Copia","2023-06-02 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Pasquetta al Parco archeologico di Monte Sannace_Copia_Copia_Copia","2023-06-02 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEA 2023 al Castello Svevo di Bari","2023-06-16 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"GEA al parco archeologico di Monte Sannace","2023-06-16 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia_Copia","2023-06-16 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"𝗕𝗔𝗥𝗜𝗨𝗠 𝗩𝗶𝗮 𝗔𝗿𝗴𝗶𝗿𝗼 𝗲 𝘃𝗶𝗮 𝗠𝗲𝗹𝗼 𝘁𝗿𝗮 𝗿𝗶𝘀𝗰𝗼𝗽𝗲𝗿𝘁𝗮 𝗲 𝗺𝘂𝗹𝘁𝗶𝗱𝗶𝘀𝗰𝗶𝗽𝗹𝗶𝗻𝗮𝗿𝗶𝗲𝘁𝗮̀_Copia","2023-06-16 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Apertura straordinaria al Parco Archeologico di Monte Sannace","2023-06-17 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Visite guidate al Parco Archeologico di Monte Sannace","2023-06-18 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"𝗕𝗔𝗥𝗜𝗨𝗠 𝗩𝗶𝗮 𝗔𝗿𝗴𝗶𝗿𝗼 𝗲 𝘃𝗶𝗮 𝗠𝗲𝗹𝗼 𝘁𝗿𝗮 𝗿𝗶𝘀𝗰𝗼𝗽𝗲𝗿𝘁𝗮 𝗲 𝗺𝘂𝗹𝘁𝗶𝗱𝗶𝘀𝗰𝗶𝗽𝗹𝗶𝗻𝗮𝗿𝗶𝗲𝘁𝗮̀","2023-06-18 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Vivi la Vita! - La Festa della Musica nella Cittadella della Cultura di Bari","2023-06-21 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Con lo sguardo al cielo. Laboratorio di astronomia, visite guidate and more…","2023-08-12 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2023 al Castello Svevo di Bari","2023-08-14 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Ferragosto 2023 al Museo Nazionale Jatta di Ruvo di Puglia","2023-08-14 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Ferragosto 2023 al Museo Archeologico Nazionale e Castello di Gioia del Colle","2023-08-14 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2023 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia","2023-08-14 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Vigilia di ferragosto al parco Archeologico di Monte Sannace","2023-08-14 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2023 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto","2023-08-15 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Ferragosto al Parco Archeologico di Monte Sannace","2023-08-15 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2023 al Museo Archeologico Nazionale e Castello di Gioia del Colle_Copia","2023-09-23 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia","2023-09-23 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Ferragosto 2023 al Museo Archeologico Nazionale e Castello di Gioia del Colle_Copia_Copia","2023-09-23 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Ferragosto 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia_Copia","2023-09-23 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Ferragosto 2023 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia","2023-09-23 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Ferragosto 2023 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia","2023-09-23 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Ferragosto 2023 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia","2023-09-23 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"GEP 2023 - Patrimonio InVita - I segni della fede viva","2023-09-23 00:00:00","Museo DIOCESANO di Monopoli","Ex Seminario Vescovile, Via Cattedrale - Monopoli","Monopoli"
"GEP 2023 al Castello svevo di Bari","2023-09-23 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"GEP 2023 – Apertura serale del Castello Svevo di Bari","2023-09-23 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Gep 2023 A MONTE SANNACE","2023-09-23 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Gep 2023 A MONTE SANNACE_Copia","2023-09-23 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Giornata Nazionale del Paesaggio 2022_Copia","2023-09-23 00:00:00","Dolmen di San Silvestro","Strada Provinciale 107 - Giovinazzo","Giovinazzo"
"Giornate europee del patrimonio 2023","2023-09-23 00:00:00","Archivio di Stato di Bari","via Pietro Oreste, 45 - Bari","Bari"
"Gep 2023 A MONTE SANNACE_Copia_Copia","2023-09-24 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Domenica di carta 2023","2023-10-08 00:00:00","Biblioteca Nazionale  Sagarriga Visconti Volpi","Via Pietro Oreste - Bari","Bari"
"Domenica di carta 2023 - Il filo nascosto. La tradizione tessile come fonte di arricchimento","2023-10-08 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Domenica di carta 2023 - Archivio di Stato di Bari - Il filo nascosto. La tradizione tessile come fonte di arricchimento","2023-10-08 00:00:00","Archivio di Stato di Bari","Via Pietro Oreste, 45 - Bari","Bari"
"Monte Sannace - Con i Peucezi alla scoperta di Thuriae","2023-10-08 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"GEP 2023 al Castello svevo di Bari_Copia","2023-11-04 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Gep 2023 A MONTE SANNACE_Copia_Copia","2023-11-04 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia_Copia_Copia_Copia","2023-11-04 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Pasqua 2023 al Museo Nazionale Jatta di Ruvo di Puglia_Copia_Copia_Copia","2023-11-04 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia_Copia_Copia","2023-11-04 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Festività 25-31 dicembre 2023 al Castello Svevo di Bari","2023-12-25 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Pasqua 2022 alla Galleria Nazionale della Puglia ""Devanna"" di Bitonto_Copia_Copia_Copia_Copia_Copia_Copia","2023-12-26 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Festività 1-6 gennaio 2024 alla Galleria Devanna di Bitonto","2024-01-01 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Festività 1-6 gennaio 2024 al Museo Nazionale Jatta di Ruvo","2024-01-01 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Festività 25-31 dicembre 2023 al Castello Svevo di Bari_Copia","2024-01-01 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Gep 2023 A MONTE SANNACE_Copia_Copia_Copia","2024-01-01 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Pasquetta 2022 al Museo archeologico nazionale e Castello di Gioia del Colle_Copia_Copia_Copia_Copia","2024-01-01 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"Donne al potere. Isabella d’Aragona e Bona Sforza al Castello di Bari","2024-03-08 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Trame di Peucezia","2024-03-08 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi","2024-03-14 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
"“Il paesaggio sotto i nostri piedi.” La geologia di Monte Sannace (e della Murgia) for dummies","2024-03-14 00:00:00","Parco archeologico di Monte Sannace","Strada Provinciale 61 - Gioia del Colle - Turi Km 4,5 - Gioia del Colle","Gioia del Colle"
"Donne al potere. Isabella d’Aragona e Bona Sforza al Castello di Bari_Copia","2024-03-31 00:00:00","Castello svevo di Bari","piazza Federico II di Svevia - Bari","Bari"
"Palazzo Simi","2024-03-31 00:00:00","Palazzo Simi - Centro operativo per l'Archeologia","Strada Lamberti - Bari","Bari"
"Pasqua 2024 al Museo Nazionale Jatta di Ruvo","2024-03-31 00:00:00","Museo nazionale Jatta","piazza G. Bovio - Ruvo di Puglia","Ruvo di Puglia"
"Pasqua 2024 alla Galleria Devanna di Bitonto","2024-03-31 00:00:00","Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","via Giandonato Rogadeo - Bitonto","Bitonto"
"Uno sguardo alla natura del Castello. I volatili del nostro territorio dal passato ad oggi_Copia","2024-03-31 00:00:00","Museo archeologico nazionale e Castello di Gioia del Colle","piazza dei Martiri del 1799 - Gioia del Colle","Gioia del Colle"
